"case","event"
"case_37","acctManip->remoteexp"
"case_37","remoteexp->ACE"
"case_37","ACE->resHJ"
"case_37","resHJ->dManip"
"case_37","dManip->exfil"
"case_37","exfil->delivery"
"case_37","delivery->end"
"case_38","start->serD"
"case_38","serD->vulnD"
"case_38","vulnD->serD"
"case_38","serD->vulnD"
"case_38","vulnD->serD"
"case_38","serD->vulnD"
"case_38","vulnD->serD"
"case_38","serD->vulnD"
"case_38","vulnD->end"
"case_39","start->serD"
"case_39","serD->vulnD"
"case_39","vulnD->serD"
"case_39","serD->vulnD"
"case_39","vulnD->serD"
"case_39","serD->vulnD"
"case_39","vulnD->end"
"case_40","start->serD"
"case_40","serD->vulnD"
"case_40","vulnD->serD"
"case_40","serD->vulnD"
"case_40","vulnD->serD"
"case_40","serD->vulnD"
"case_40","vulnD->serD"
"case_40","serD->vulnD"
"case_40","vulnD->end"
"case_41","start->serD"
"case_41","serD->vulnD"
"case_41","vulnD->infoD"
"case_41","infoD->hostD"
"case_41","hostD->serD"
"case_41","serD->vulnD"
"case_41","vulnD->hostD"
"case_41","hostD->end"
"case_42","start->serD"
"case_42","serD->vulnD"
"case_42","vulnD->serD"
"case_42","serD->vulnD"
"case_42","vulnD->end"
"case_43","start->serD"
"case_43","serD->vulnD"
"case_43","vulnD->serD"
"case_43","serD->vulnD"
"case_43","vulnD->end"
"case_44","start->hostD"
"case_44","hostD->serD"
"case_44","serD->vulnD"
"case_44","vulnD->serD"
"case_44","serD->vulnD"
"case_44","vulnD->hostD"
"case_44","hostD->end"
"case_45","start->serD"
"case_45","serD->vulnD"
"case_45","vulnD->serD"
"case_45","serD->vulnD"
"case_45","vulnD->end"
"case_46","start->serD"
"case_46","serD->vulnD"
"case_46","vulnD->serD"
"case_46","serD->vulnD"
"case_46","vulnD->end"
"case_47","start->hostD"
"case_47","hostD->serD"
"case_47","serD->vulnD"
"case_47","vulnD->infoD"
"case_47","infoD->exfil"
"case_47","exfil->end"
"case_48","start->vulnD"
"case_48","vulnD->serD"
"case_48","serD->hostD"
"case_48","hostD->infoD"
"case_48","infoD->exfil"
"case_48","exfil->end"
"case_49","start->serD"
"case_49","serD->vulnD"
"case_49","vulnD->serD"
"case_49","serD->vulnD"
"case_49","vulnD->end"
"case_50","start->serD"
"case_50","serD->vulnD"
"case_50","vulnD->serD"
"case_50","serD->hostD"
"case_50","hostD->serD"
"case_50","serD->vulnD"
"case_50","vulnD->serD"
"case_50","serD->hostD"
"case_50","hostD->end"
"case_51","start->hostD"
"case_51","hostD->serD"
"case_51","serD->vulnD"
"case_51","vulnD->bfCred"
"case_51","bfCred->end"
"case_52","start->serD"
"case_52","serD->vulnD"
"case_52","vulnD->hostD"
"case_52","hostD->end"
"case_53","start->hostD"
"case_53","hostD->serD"
"case_53","serD->vulnD"
"case_53","vulnD->end"
"case_54","start->serD"
"case_54","serD->vulnD"
"case_54","vulnD->serD"
"case_54","serD->vulnD"
"case_54","vulnD->end"
"case_55","start->serD"
"case_55","serD->vulnD"
"case_55","vulnD->serD"
"case_55","serD->vulnD"
"case_55","vulnD->end"
"case_56","start->serD"
"case_56","serD->vulnD"
"case_56","vulnD->vulnD"
"case_56","vulnD->end"
"case_57","start->serD"
"case_57","serD->vulnD"
"case_57","vulnD->serD"
"case_57","serD->vulnD"
"case_57","vulnD->end"
"case_58","start->vulnD"
"case_58","vulnD->rPrivEsc"
"case_58","rPrivEsc->remoteexp"
"case_58","remoteexp->dManip"
"case_58","dManip->exfil"
"case_58","exfil->end"
"case_59","start->vulnD"
"case_59","vulnD->serD"
"case_59","serD->hostD"
"case_59","hostD->end"
"case_60","start->serD"
"case_60","serD->vulnD"
"case_60","vulnD->hostD"
"case_60","hostD->end"
"case_61","start->serD"
"case_61","serD->serD"
"case_61","serD->vulnD"
"case_61","vulnD->end"
"case_62","start->serD"
"case_62","serD->serD"
"case_62","serD->vulnD"
"case_62","vulnD->end"
"case_63","start->hostD"
"case_63","hostD->serD"
"case_63","serD->vulnD"
"case_63","vulnD->end"
"case_64","start->hostD"
"case_64","hostD->serD"
"case_64","serD->vulnD"
"case_64","vulnD->end"
"case_65","start->serD"
"case_65","serD->vulnD"
"case_65","vulnD->hostD"
"case_65","hostD->end"
"case_66","start->serD"
"case_66","serD->vulnD"
"case_66","vulnD->hostD"
"case_66","hostD->end"
"case_67","start->serD"
"case_67","serD->vulnD"
"case_67","vulnD->vulnD"
"case_67","vulnD->end"
"case_68","start->serD"
"case_68","serD->vulnD"
"case_68","vulnD->hostD"
"case_68","hostD->serD"
"case_68","serD->vulnD"
"case_68","vulnD->vulnD"
"case_68","vulnD->infoD"
"case_68","infoD->uPrivEsc"
"case_68","uPrivEsc->rPrivEsc"
"case_68","rPrivEsc->exfil"
"case_68","exfil->delivery"
"case_68","delivery->end"
"case_69","start->serD"
"case_69","serD->PAexp"
"case_69","PAexp->remoteexp"
"case_69","remoteexp->ACE"
"case_69","ACE->dManip"
"case_69","dManip->end"
"case_70","start->serD"
"case_70","serD->vulnD"
"case_70","vulnD->rPrivEsc"
"case_70","rPrivEsc->remoteexp"
"case_70","remoteexp->ACE"
"case_70","ACE->dManip"
"case_70","dManip->end"
"case_71","start->serD"
"case_71","serD->serD"
"case_71","serD->surf"
"case_71","surf->serD"
"case_71","serD->vulnD"
"case_71","vulnD->infoD"
"case_71","infoD->PAexp"
"case_71","PAexp->remoteexp"
"case_71","remoteexp->dManip"
"case_71","dManip->exfil"
"case_71","exfil->delivery"
"case_71","delivery->end"
"case_72","start->serD"
"case_72","serD->vulnD"
"case_72","vulnD->serD"
"case_72","serD->vulnD"
"case_72","vulnD->vulnD"
"case_72","vulnD->uPrivEsc"
"case_72","uPrivEsc->rPrivEsc"
"case_72","rPrivEsc->end"
"case_73","start->infoD"
"case_73","infoD->exfil"
"case_73","exfil->delivery"
"case_73","delivery->end"
"case_74","start->vulnD"
"case_74","vulnD->remoteexp"
"case_74","remoteexp->ACE"
"case_74","ACE->end"
"case_75","start->serD"
"case_75","serD->vulnD"
"case_75","vulnD->hostD"
"case_75","hostD->infoD"
"case_75","infoD->serD"
"case_75","serD->vulnD"
"case_75","vulnD->serD"
"case_75","serD->surf"
"case_75","surf->vulnD"
"case_75","vulnD->infoD"
"case_75","infoD->uPrivEsc"
"case_75","uPrivEsc->rPrivEsc"
"case_75","rPrivEsc->resHJ"
"case_75","resHJ->exfil"
"case_75","exfil->end"
"case_76","start->serD"
"case_76","serD->PAexp"
"case_76","PAexp->remoteexp"
"case_76","remoteexp->ACE"
"case_76","ACE->dManip"
"case_76","dManip->delivery"
"case_76","delivery->end"
"case_77","start->vulnD"
"case_77","vulnD->serD"
"case_77","serD->acctManip"
"case_77","acctManip->TOexp"
"case_77","TOexp->remoteexp"
"case_77","remoteexp->ACE"
"case_77","ACE->privEsc"
"case_77","privEsc->dManip"
"case_77","dManip->exfil"
"case_77","exfil->end"
"case_78","start->serD"
"case_78","serD->serD"
"case_78","serD->serD"
"case_78","serD->serD"
"case_78","serD->vulnD"
"case_78","vulnD->infoD"
"case_78","infoD->rPrivEsc"
"case_78","rPrivEsc->TOexp"
"case_78","TOexp->remoteexp"
"case_78","remoteexp->CnC"
"case_78","CnC->ACE"
"case_78","ACE->dManip"
"case_78","dManip->delivery"
"case_78","delivery->end"
"case_79","start->serD"
"case_79","serD->vulnD"
"case_79","vulnD->hostD"
"case_79","hostD->serD"
"case_79","serD->vulnD"
"case_79","vulnD->surf"
"case_79","surf->vulnD"
"case_79","vulnD->infoD"
"case_79","infoD->uPrivEsc"
"case_79","uPrivEsc->rPrivEsc"
"case_79","rPrivEsc->end"
"case_80","start->serD"
"case_80","serD->PAexp"
"case_80","PAexp->remoteexp"
"case_80","remoteexp->ACE"
"case_80","ACE->dManip"
"case_80","dManip->exfil"
"case_80","exfil->delivery"
"case_80","delivery->end"
"case_81","start->vulnD"
"case_81","vulnD->rPrivEsc"
"case_81","rPrivEsc->remoteexp"
"case_81","remoteexp->ACE"
"case_81","ACE->dManip"
"case_81","dManip->end"
"case_82","start->serD"
"case_82","serD->serD"
"case_82","serD->serD"
"case_82","serD->vulnD"
"case_82","vulnD->infoD"
"case_82","infoD->TOexp"
"case_82","TOexp->PAexp"
"case_82","PAexp->remoteexp"
"case_82","remoteexp->ACE"
"case_82","ACE->dManip"
"case_82","dManip->exfil"
"case_82","exfil->delivery"
"case_82","delivery->end"
"case_83","start->serD"
"case_83","serD->serD"
"case_83","serD->serD"
"case_83","serD->end"
"case_84","start->serD"
"case_84","serD->vulnD"
"case_84","vulnD->vulnD"
"case_84","vulnD->end"
"case_85","start->serD"
"case_85","serD->vulnD"
"case_85","vulnD->bfCred"
"case_85","bfCred->end"
"case_86","start->hostD"
"case_86","hostD->serD"
"case_86","serD->vulnD"
"case_86","vulnD->infoD"
"case_86","infoD->vulnD"
"case_86","vulnD->infoD"
"case_86","infoD->serD"
"case_86","serD->vulnD"
"case_86","vulnD->bfCred"
"case_86","bfCred->end"
"case_87","start->surf"
"case_87","surf->serD"
"case_87","serD->vulnD"
"case_87","vulnD->infoD"
"case_87","infoD->rPrivEsc"
"case_87","rPrivEsc->resHJ"
"case_87","resHJ->exfil"
"case_87","exfil->end"
"case_88","start->acctManip"
"case_88","acctManip->TOexp"
"case_88","TOexp->PAexp"
"case_88","PAexp->remoteexp"
"case_88","remoteexp->ACE"
"case_88","ACE->privEsc"
"case_88","privEsc->dManip"
"case_88","dManip->end"
"case_89","start->hostD"
"case_89","hostD->serD"
"case_89","serD->vulnD"
"case_89","vulnD->infoD"
"case_89","infoD->acctManip"
"case_89","acctManip->netDOS"
"case_89","netDOS->end"
"case_90","start->hostD"
"case_90","hostD->serD"
"case_90","serD->vulnD"
"case_90","vulnD->infoD"
"case_90","infoD->acctManip"
"case_90","acctManip->netDOS"
"case_90","netDOS->end"
"case_91","start->hostD"
"case_91","hostD->serD"
"case_91","serD->vulnD"
"case_91","vulnD->infoD"
"case_91","infoD->acctManip"
"case_91","acctManip->netDOS"
"case_91","netDOS->end"
"case_92","start->hostD"
"case_92","hostD->serD"
"case_92","serD->vulnD"
"case_92","vulnD->infoD"
"case_92","infoD->acctManip"
"case_92","acctManip->netDOS"
"case_92","netDOS->end"
"case_93","start->hostD"
"case_93","hostD->serD"
"case_93","serD->vulnD"
"case_93","vulnD->infoD"
"case_93","infoD->acctManip"
"case_93","acctManip->netDOS"
"case_93","netDOS->end"
"case_94","start->hostD"
"case_94","hostD->serD"
"case_94","serD->vulnD"
"case_94","vulnD->infoD"
"case_94","infoD->acctManip"
"case_94","acctManip->netDOS"
"case_94","netDOS->end"
"case_95","start->hostD"
"case_95","hostD->serD"
"case_95","serD->vulnD"
"case_95","vulnD->infoD"
"case_95","infoD->acctManip"
"case_95","acctManip->netDOS"
"case_95","netDOS->end"
"case_96","start->hostD"
"case_96","hostD->serD"
"case_96","serD->vulnD"
"case_96","vulnD->infoD"
"case_96","infoD->acctManip"
"case_96","acctManip->netDOS"
"case_96","netDOS->end"
"case_97","start->hostD"
"case_97","hostD->vulnD"
"case_97","vulnD->infoD"
"case_97","infoD->acctManip"
"case_97","acctManip->netDOS"
"case_97","netDOS->end"
"case_98","start->hostD"
"case_98","hostD->serD"
"case_98","serD->vulnD"
"case_98","vulnD->infoD"
"case_98","infoD->acctManip"
"case_98","acctManip->netDOS"
"case_98","netDOS->end"
"case_99","start->hostD"
"case_99","hostD->serD"
"case_99","serD->vulnD"
"case_99","vulnD->infoD"
"case_99","infoD->acctManip"
"case_99","acctManip->netDOS"
"case_99","netDOS->end"
"case_100","start->serD"
"case_100","serD->vulnD"
"case_100","vulnD->hostD"
"case_100","hostD->infoD"
"case_100","infoD->acctManip"
"case_100","acctManip->netDOS"
"case_100","netDOS->end"
"case_101","start->serD"
"case_101","serD->vulnD"
"case_101","vulnD->hostD"
"case_101","hostD->infoD"
"case_101","infoD->acctManip"
"case_101","acctManip->netDOS"
"case_101","netDOS->end"
"case_102","start->serD"
"case_102","serD->vulnD"
"case_102","vulnD->hostD"
"case_102","hostD->infoD"
"case_102","infoD->bfCred"
"case_102","bfCred->acctManip"
"case_102","acctManip->netDOS"
"case_102","netDOS->end"
"case_103","start->rPrivEsc"
"case_103","rPrivEsc->CnC"
"case_103","CnC->privEsc"
"case_103","privEsc->exfil"
"case_103","exfil->end"
"case_104","start->serD"
"case_104","serD->vulnD"
"case_104","vulnD->hostD"
"case_104","hostD->infoD"
"case_104","infoD->acctManip"
"case_104","acctManip->netDOS"
"case_104","netDOS->end"
"case_105","start->serD"
"case_105","serD->uPrivEsc"
"case_105","uPrivEsc->uPrivEsc"
"case_105","uPrivEsc->end"
"case_106","start->vulnD"
"case_106","vulnD->hostD"
"case_106","hostD->infoD"
"case_106","infoD->acctManip"
"case_106","acctManip->netDOS"
"case_106","netDOS->end"
"case_107","start->vulnD"
"case_107","vulnD->hostD"
"case_107","hostD->infoD"
"case_107","infoD->acctManip"
"case_107","acctManip->netDOS"
"case_107","netDOS->end"
"case_108","start->vulnD"
"case_108","vulnD->hostD"
"case_108","hostD->infoD"
"case_108","infoD->acctManip"
"case_108","acctManip->netDOS"
"case_108","netDOS->end"
"case_109","start->infoD"
"case_109","infoD->infoD"
"case_109","infoD->CnC"
"case_109","CnC->end"
"case_110","start->hostD"
"case_110","hostD->serD"
"case_110","serD->vulnD"
"case_110","vulnD->serD"
"case_110","serD->vulnD"
"case_110","vulnD->hostD"
"case_110","hostD->hostD"
"case_110","hostD->end"
"case_111","start->serD"
"case_111","serD->vulnD"
"case_111","vulnD->hostD"
"case_111","hostD->serD"
"case_111","serD->vulnD"
"case_111","vulnD->CnC"
"case_111","CnC->end"
"case_112","start->serD"
"case_112","serD->vulnD"
"case_112","vulnD->serD"
"case_112","serD->vulnD"
"case_112","vulnD->end"
"case_113","start->serD"
"case_113","serD->vulnD"
"case_113","vulnD->hostD"
"case_113","hostD->infoD"
"case_113","infoD->exfil"
"case_113","exfil->end"
"case_114","start->serD"
"case_114","serD->vulnD"
"case_114","vulnD->hostD"
"case_114","hostD->infoD"
"case_114","infoD->exfil"
"case_114","exfil->end"
"case_115","start->serD"
"case_115","serD->vulnD"
"case_115","vulnD->hostD"
"case_115","hostD->serD"
"case_115","serD->vulnD"
"case_115","vulnD->hostD"
"case_115","hostD->surf"
"case_115","surf->infoD"
"case_115","infoD->netDOS"
"case_115","netDOS->end"
"case_116","start->serD"
"case_116","serD->vulnD"
"case_116","vulnD->serD"
"case_116","serD->vulnD"
"case_116","vulnD->end"
"case_117","start->hostD"
"case_117","hostD->serD"
"case_117","serD->vulnD"
"case_117","vulnD->infoD"
"case_117","infoD->exfil"
"case_117","exfil->end"
"case_118","start->serD"
"case_118","serD->vulnD"
"case_118","vulnD->hostD"
"case_118","hostD->exfil"
"case_118","exfil->end"
"case_119","start->serD"
"case_119","serD->vulnD"
"case_119","vulnD->bfCred"
"case_119","bfCred->end"
"case_120","start->hostD"
"case_120","hostD->serD"
"case_120","serD->vulnD"
"case_120","vulnD->bfCred"
"case_120","bfCred->end"
"case_121","start->hostD"
"case_121","hostD->hostD"
"case_121","hostD->serD"
"case_121","serD->vulnD"
"case_121","vulnD->rPrivEsc"
"case_121","rPrivEsc->end"
"case_122","start->serD"
"case_122","serD->vulnD"
"case_122","vulnD->hostD"
"case_122","hostD->infoD"
"case_122","infoD->infoD"
"case_122","infoD->hostD"
"case_122","hostD->end"
"case_123","start->serD"
"case_123","serD->vulnD"
"case_123","vulnD->hostD"
"case_123","hostD->infoD"
"case_123","infoD->infoD"
"case_123","infoD->hostD"
"case_123","hostD->end"
"case_124","start->serD"
"case_124","serD->vulnD"
"case_124","vulnD->hostD"
"case_124","hostD->infoD"
"case_124","infoD->infoD"
"case_124","infoD->hostD"
"case_124","hostD->end"
"case_125","start->serD"
"case_125","serD->vulnD"
"case_125","vulnD->surf"
"case_125","surf->infoD"
"case_125","infoD->netDOS"
"case_125","netDOS->end"
"case_126","start->surf"
"case_126","surf->serD"
"case_126","serD->infoD"
"case_126","infoD->netDOS"
"case_126","netDOS->end"
"case_127","start->hostD"
"case_127","hostD->infoD"
"case_127","infoD->infoD"
"case_127","infoD->hostD"
"case_127","hostD->surf"
"case_127","surf->infoD"
"case_127","infoD->netDOS"
"case_127","netDOS->end"
"case_128","start->serD"
"case_128","serD->vulnD"
"case_128","vulnD->surf"
"case_128","surf->infoD"
"case_128","infoD->netDOS"
"case_128","netDOS->end"
"case_129","start->surf"
"case_129","surf->infoD"
"case_129","infoD->hostD"
"case_129","hostD->infoD"
"case_129","infoD->infoD"
"case_129","infoD->hostD"
"case_129","hostD->end"
"case_130","start->serD"
"case_130","serD->vulnD"
"case_130","vulnD->hostD"
"case_130","hostD->infoD"
"case_130","infoD->infoD"
"case_130","infoD->hostD"
"case_130","hostD->end"
"case_131","start->serD"
"case_131","serD->vulnD"
"case_131","vulnD->hostD"
"case_131","hostD->infoD"
"case_131","infoD->infoD"
"case_131","infoD->hostD"
"case_131","hostD->end"
"case_132","start->serD"
"case_132","serD->vulnD"
"case_132","vulnD->hostD"
"case_132","hostD->infoD"
"case_132","infoD->infoD"
"case_132","infoD->hostD"
"case_132","hostD->end"
"case_133","start->serD"
"case_133","serD->vulnD"
"case_133","vulnD->hostD"
"case_133","hostD->infoD"
"case_133","infoD->infoD"
"case_133","infoD->hostD"
"case_133","hostD->end"
"case_134","start->serD"
"case_134","serD->vulnD"
"case_134","vulnD->hostD"
"case_134","hostD->infoD"
"case_134","infoD->infoD"
"case_134","infoD->hostD"
"case_134","hostD->end"
"case_135","start->serD"
"case_135","serD->vulnD"
"case_135","vulnD->hostD"
"case_135","hostD->infoD"
"case_135","infoD->infoD"
"case_135","infoD->hostD"
"case_135","hostD->end"
"case_136","start->serD"
"case_136","serD->vulnD"
"case_136","vulnD->serD"
"case_136","serD->vulnD"
"case_136","vulnD->serD"
"case_136","serD->vulnD"
"case_136","vulnD->hostD"
"case_136","hostD->serD"
"case_136","serD->vulnD"
"case_136","vulnD->hostD"
"case_136","hostD->end"
"case_137","start->serD"
"case_137","serD->vulnD"
"case_137","vulnD->serD"
"case_137","serD->vulnD"
"case_137","vulnD->serD"
"case_137","serD->vulnD"
"case_137","vulnD->serD"
"case_137","serD->vulnD"
"case_137","vulnD->end"
"case_138","start->serD"
"case_138","serD->vulnD"
"case_138","vulnD->serD"
"case_138","serD->vulnD"
"case_138","vulnD->serD"
"case_138","serD->vulnD"
"case_138","vulnD->serD"
"case_138","serD->vulnD"
"case_138","vulnD->end"
"case_139","start->serD"
"case_139","serD->vulnD"
"case_139","vulnD->serD"
"case_139","serD->vulnD"
"case_139","vulnD->serD"
"case_139","serD->vulnD"
"case_139","vulnD->serD"
"case_139","serD->vulnD"
"case_139","vulnD->end"
"case_140","start->serD"
"case_140","serD->vulnD"
"case_140","vulnD->serD"
"case_140","serD->vulnD"
"case_140","vulnD->serD"
"case_140","serD->vulnD"
"case_140","vulnD->serD"
"case_140","serD->vulnD"
"case_140","vulnD->end"
"case_141","start->serD"
"case_141","serD->vulnD"
"case_141","vulnD->serD"
"case_141","serD->vulnD"
"case_141","vulnD->hostD"
"case_141","hostD->serD"
"case_141","serD->vulnD"
"case_141","vulnD->hostD"
"case_141","hostD->serD"
"case_141","serD->vulnD"
"case_141","vulnD->hostD"
"case_141","hostD->end"
"case_142","start->serD"
"case_142","serD->vulnD"
"case_142","vulnD->serD"
"case_142","serD->vulnD"
"case_142","vulnD->serD"
"case_142","serD->vulnD"
"case_142","vulnD->serD"
"case_142","serD->vulnD"
"case_142","vulnD->end"
"case_143","start->serD"
"case_143","serD->vulnD"
"case_143","vulnD->serD"
"case_143","serD->vulnD"
"case_143","vulnD->serD"
"case_143","serD->vulnD"
"case_143","vulnD->serD"
"case_143","serD->vulnD"
"case_143","vulnD->end"
"case_144","start->serD"
"case_144","serD->vulnD"
"case_144","vulnD->serD"
